,bfs,dfs_main,dls,ucs,ids,best_first,a_star,weighted_a_star
testcase1,0.00026929999876301736,0.00022280000848695636,0.00041590000910218805,0.00029579999682027847,0.00029260000155773014,0.00029969999741297215,0.00034139999479521066,0.0002702000056160614
testcase2,0.0002351000002818182,0.00014029999147169292,0.00014370000280905515,0.0002826999989338219,0.00013980000221636146,0.00021189999824855477,0.0003281999961473048,0.000267999988864176
testcase3,0.00019350000366102904,0.0001446999958716333,0.0001453000004403293,0.00021779999951831996,0.00014269999519456178,0.00017719999596010894,0.00020580001000780612,0.00015639999764971435
testcase4,0.00016320000577252358,0.00011039999662898481,0.00011470000026747584,0.0002775000029942021,0.00018390000332146883,0.0002305999951204285,0.0003141000051982701,0.0001621999981580302
testcase5,0.00014289999671746045,0.00013320001016836613,0.00013580000086221844,0.00017090000619646162,0.00012579999747686088,0.00010920000204350799,0.00014030000602360815,0.00012260000221431255
testcase6,0.00015269999857991934,6.479999865405262e-05,7.759999425616115e-05,0.00018699999782256782,5.5500000598840415e-05,6.0999998822808266e-05,7.680000271648169e-05,8.009999874047935e-05
testcase7,0.0002142000012099743,0.00011819999781437218,0.0001419000036548823,0.00018889999773819,0.00012029999925289303,0.00012159999459981918,0.00020559999393299222,0.0001655999949434772
testcase8,0.0008636000129627064,0.00031540000054519624,0.00043339999683666974,0.0005597999988822266,0.0003598000039346516,0.0005425999988801777,0.0006856999971205369,0.0005865000130143017
testcase9,0.0005516999954124913,0.0004059999919263646,0.0005243000050541013,0.0007149000011850148,0.0008174999966286123,0.0006061000021873042,0.0007575000054202974,0.0005983000010019168
testcase10,0.0003998000029241666,0.00030339999648276716,0.0004200999974273145,0.000764199998229742,0.0005375999899115413,0.00039000000106170774,0.0005086000019218773,0.00046130000555422157
