,bfs,dfs_main,dls,ucs,ids,best_first,a_star,weighted_a_star
testcase1,5.3994140625,4.4462890625,3.904296875,4.5068359375,3.5302734375,3.734375,3.0654296875,3.494140625
testcase2,15.625,15.8203125,9.609375,15.6484375,9.6640625,10.37890625,10.0927734375,10.2177734375
testcase3,35.15625,35.3515625,21.328125,35.15625,21.359375,21.484375,21.484375,21.484375
testcase4,62.5,62.6953125,37.734375,62.5234375,37.7890625,37.9140625,37.9140625,37.9140625
testcase5,97.65625,97.8515625,58.828125,97.6796875,58.8828125,59.0078125,59.0078125,59.0078125
testcase6,140.625,140.8203125,84.609375,140.625,84.6640625,84.7890625,84.7890625,84.7890625
testcase7,191.4296875,191.625,115.1015625,191.4296875,115.1328125,115.2578125,115.2578125,115.2578125
testcase8,250.0,250.1953125,150.234375,250.0234375,150.2890625,150.4140625,150.4140625,150.4140625
testcase9,316.40625,316.6015625,190.078125,316.40625,190.109375,190.2578125,190.2578125,190.2578125
testcase10,390.6484375,390.84375,234.6328125,390.6484375,234.6640625,234.7890625,234.7890625,234.7890625
